School,Class,District,Type,Opp1,HA1,Date1,Opp2,HA2,Date2,Opp3,HA3,Date3,Opp4,HA4,Date4,Opp5,HA5,Date5,Opp6,HA6,Date6,Opp7,HA7,Date7,Opp8,HA8,Date8,Share Stadium,Schools Sharing With,Name of Submitter,Date Submitted
Amherst,D1,8,8,Shelton,,0000-00-00,Callaway,,0000-00-00,Elwood,,0000-00-00,Eustis-Farnam,,0000-00-00,Giltner,,0000-00-00,Kenesaw,,0000-00-00,Silver Lake,,0000-00-00,Burwell,,0000-00-00,NO,,Ron Evans,12/31/2007
Anselmo-Merna,D2,8,8,North Central,,0000-00-00,Sargent,,0000-00-00,Burwell,,0000-00-00,Callaway,,0000-00-00,Litchfield,,0000-00-00,Sandhills/Thedford,,0000-00-00,North Loup-Scotia,,0000-00-00,Pleasanton,,0000-00-00,NO,,Debra Bargstadt, AD,01/02/2008
Aquinas Catholic,C2,3,11,Columbus Scotus,,0000-00-00,Lourdes Central Catholic,,0000-00-00,Lincoln Christian,,0000-00-00,High Plains Community,,0000-00-00,Fullerton,,0000-00-00,Cross County,,0000-00-00,Humboldt-Table Rock-Steinauer,,0000-00-00,North Bend Central,,0000-00-00,YES,David City High,Ron Mimick,12/30/2007
Arlington,C1,4,11,Douglas County West,,0000-00-00,Fort Calhoun,,0000-00-00,Wahoo,,0000-00-00,Bennington,,0000-00-00,Yutan,,0000-00-00,Ashland-Greenwood,,0000-00-00,Raymond Central,,0000-00-00,,,0000-00-00,NO,,Brent Cudly,12/31/2007
Battle Creek,C1,5,11,Madison,H,0000-00-00,Wisner-Pilger,A,0000-00-00,West Point-Beemer,H,0000-00-00,Columbus Scotus,H,0000-00-00,Logan View,A,0000-00-00,Twin River,H,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Greg Wemhoff,12/31/2007
Bayard,C2,10,11,Kimball,,0000-00-00,Mitchell,,0000-00-00,Gordon-Rushville,,0000-00-00,Lingle-Fort Laramie, WY,,0000-00-00,Pine Bluffs, WY,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Gerald Thompson,12/31/2007
Bloomfield,D2,5,8,North Central,,0000-00-00,West Boyd,,0000-00-00,Elkhorn Valley,,0000-00-00,Osmond,,0000-00-00,Omaha Nation,,0000-00-00,Emerson-Hubbard,,0000-00-00,Humphrey,,0000-00-00,Wausa,,0000-00-00,NO,,Jim Dooley,01/01/2008
Cambridge,C2,9,11,Sutherland,,0000-00-00,Hershey,,0000-00-00,Southern Valley,,0000-00-00,Perkins County,,0000-00-00,Gibbon,,0000-00-00,Sandy Creek,,0000-00-00,Chase County,,0000-00-00,Superior,,0000-00-00,NO,,Ron Streit,01/02/2008
Chase County,C2,10,11,Holyoke, CO,A,2008-08-30,Hershey,,0000-00-00,Dundy County-Stratton,,0000-00-00,Kimball,,0000-00-00,Cambridge,,0000-00-00,Gordon-Rushville,,0000-00-00,Southwest,,0000-00-00,Chadron,,0000-00-00,NO,,Mark Bottom/AD,01/02/2008
Columbus,B,5,11,Schuyler,,0000-00-00,Blair,,0000-00-00,McCook,,0000-00-00,Hastings,,0000-00-00,Aurora,,0000-00-00,Northwest,,0000-00-00,Crete,,0000-00-00,South Sioux City,,0000-00-00,YES,Columbus Scotus Central Catholic,Brad Hansen, AD,01/02/2008
Columbus Lakeview,B,5,11,Mount Michael Benedictine,,0000-00-00,Platteview,,0000-00-00,South Sioux City,,0000-00-00,Blair,,0000-00-00,Northwest,,0000-00-00,Schuyler,,0000-00-00,Columbus Scotus,,0000-00-00,Nebraska City,,0000-00-00,,,,01/02/2008
Columbus Scotus,C1,6,11,Columbus Lakeview,,0000-00-00,Aquinas Catholic,,0000-00-00,Schuyler,,0000-00-00,North Bend Central,,0000-00-00,Wahoo,,0000-00-00,Central City,,0000-00-00,Battle Creek,,0000-00-00,Bishop Neumann,,0000-00-00,YES,Columbus High,Gary Puetz A.D.,01/02/2008
Creighton,C2,6,11,Randolph,,0000-00-00,Crofton,,0000-00-00,Laurel-Concord,,0000-00-00,Fullerton,,0000-00-00,Ponca,,0000-00-00,Homer,,0000-00-00,O'Neill,,0000-00-00,Stanton,,0000-00-00,NO,Please include top 3 schools on list ---Conference schools,Randy Kliment,12/29/2007
Doniphan-Trumbull,C1,7,11,Blue Hill,,0000-00-00,Wood River,,0000-00-00,Loup City,,0000-00-00,Minden,,0000-00-00,Sutton,,0000-00-00,Sandy Creek,,0000-00-00,Gibbon,,0000-00-00,Kearney Catholic,,0000-00-00,NO,,Ron Kubik, AD,12/31/2007
Elmwood-Murdock,C2,1,11,Palmyra,,0000-00-00,Johnson County Central,,0000-00-00,Malcolm,,0000-00-00,East Butler,,0000-00-00,Lourdes Central Catholic,,0000-00-00,Humboldt-Table Rock-Steinauer,,0000-00-00,Fort Calhoun,,0000-00-00,Douglas County West,,0000-00-00,NO,,Dan Novak,01/02/2008
Elwood,D1,9,8,Alma,,0000-00-00,Ansley,,0000-00-00,Bertrand,,0000-00-00,Loomis,,0000-00-00,Overton,,0000-00-00,Arapahoe,,0000-00-00,Brady,,0000-00-00,Sumner-Eddyville-Miller,,0000-00-00,NO,,Ed Arends,12/31/2007
Falls City Sacred Heart,D2,1,8,Bern, KS,H,2008-09-12,Bern, KS,H,2008-09-12,Pawnee City,,0000-00-00,Conestoga,,0000-00-00,Concordia,,0000-00-00,Omaha Christian Academy,,0000-00-00,Meridian,,0000-00-00,,,0000-00-00,YES,Falls City High School,Doug Goltz,01/02/2008
Franklin,D1,7,8,Alma,,0000-00-00,Red Cloud,,0000-00-00,Wilcox-Hildreth,,0000-00-00,Bertrand,,0000-00-00,Arapahoe,,0000-00-00,Deshler,,0000-00-00,Elwood,,0000-00-00,Amherst,,0000-00-00,NO,,Tom Dreher,01/02/2008
Freeman,D1,2,8,Diller-Odell,,0000-00-00,Sterling,A,0000-00-00,Falls City Sacred Heart,,0000-00-00,Johnson-Brock,,0000-00-00,Mead,,0000-00-00,Lewiston,,0000-00-00,Parkview Christian,,0000-00-00,,,0000-00-00,NO,,Dr. Bob Michl,01/01/2008
Fremont,A,1,11,Norfolk,,0000-00-00,Lincoln East,,0000-00-00,Lincoln Southeast,,0000-00-00,Lincoln Southwest,,0000-00-00,Papillion-LaVista,,0000-00-00,Omaha Northwest,,0000-00-00,Omaha South,,0000-00-00,Omaha Bryan,,0000-00-00,YES,Archbishop Bergan (Thurs./Fri.) / Midland College (Sat.),Bill Fitzgerald - AD,01/02/2008
Harvard,D2,2,8,Wilcox-Hildreth,,0000-00-00,Nebraska Lutheran,,0000-00-00,Heartland Lutheran,,0000-00-00,Loomis,,0000-00-00,McCool Junction,,0000-00-00,Meridian,,0000-00-00,Dorchester,,0000-00-00,Shelton,,0000-00-00,NO,,Brent A. Williamson,01/02/2008
Hershey,C1,10,11,Sutherland,H,0000-00-00,North Platte St. Patrick's,,0000-00-00,Chase County,,0000-00-00,Perkins County,,0000-00-00,Dundy County-Stratton,,0000-00-00,Southwest,,0000-00-00,Broken Bow,,0000-00-00,Kearney Catholic,,0000-00-00,NO,,Mike Troxel,01/02/2008
Holdrege,B,7,11,Northwest,,0000-00-00,Hastings,,0000-00-00,York,,0000-00-00,Seward,,0000-00-00,Minden,,0000-00-00,Aurora,,0000-00-00,Alliance,,0000-00-00,Gering,,0000-00-00,NO,,Scott Schoneman,01/02/2008
Lincoln Christian,C2,2,11,Lincoln Lutheran,,0000-00-00,Omaha Brownell-Talbot,,0000-00-00,Tri County,,0000-00-00,Weeping Water,,0000-00-00,Malcolm,,0000-00-00,Wilber-Clatonia,,0000-00-00,Syracuse,,0000-00-00,East Butler,,0000-00-00,YES,Lincoln Lutheran,Matt Farup,01/02/2008
Lincoln Pius X,B,4,11,Hastings,H,0000-00-00,Ralston,,0000-00-00,Waverly,,0000-00-00,Omaha Skutt Catholic,,0000-00-00,Omaha Gross Catholic,,0000-00-00,Columbus,,0000-00-00,Gretna,,0000-00-00,Seward,,0000-00-00,NO,,Tim Aylward,01/02/2008
Lincoln Southeast,A,2,11,Lincoln High,,0000-00-00,Lincoln Northeast,,0000-00-00,Lincoln North Star,,0000-00-00,Papillion-LaVista South,,0000-00-00,Papillion-LaVista,,0000-00-00,Bellevue East,,0000-00-00,Bellevue West,,0000-00-00,Fremont,,0000-00-00,YES,Lincoln East, Lincoln High, Lincoln Northeast, Lincoln North Star, Lincoln Southwest,Mike Rasmussen,01/02/2008
Lyons-Decatur Northeast,D1,3,8,Walthill,,0000-00-00,Omaha Nation,,0000-00-00,Winnebago,,0000-00-00,Omaha Christian Academy,,0000-00-00,Concordia,,0000-00-00,Allen,,0000-00-00,Osmond,,0000-00-00,Cedar Bluffs,,0000-00-00,NO,,Bruce Knaak,01/02/2008
Malcolm,C2,3,11,Raymond Central,,0000-00-00,Louisville,,0000-00-00,Palmyra,,0000-00-00,Weeping Water,,0000-00-00,Yutan,,0000-00-00,Johnson County Central,,0000-00-00,Omaha Brownell-Talbot,,0000-00-00,Elmwood-Murdock,,0000-00-00,NO,,Jack Tarr AD,01/02/2008
Maxwell,D1,9,8,Brady,H,0000-00-00,Wallace,A,0000-00-00,Maywood,H,0000-00-00,Stapleton,,0000-00-00,Paxton,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Aub Boucher,12/31/2007
McCool Junction,D1,6,8,Dorchester,,0000-00-00,Cedar Rapids,,0000-00-00,Osmond,,0000-00-00,Harvard,,0000-00-00,Leigh,,0000-00-00,Meridian,,0000-00-00,Nebraska Lutheran,,0000-00-00,,,0000-00-00,NO,,Grant Fisher,01/02/2008
Mitchell,C1,10,11,Morrill,,0000-00-00,Bayard,,0000-00-00,Bridgeport,,0000-00-00,Pine Bluffs, WY,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,terry gilliland,12/31/2007
Morrill,C2,10,11,Mitchell,,0000-00-00,Kimball,,0000-00-00,Lingle-Fort Laramie, WY,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,craig manley,12/31/2007
Nebraska City,B,2,11,Auburn,,0000-00-00,Platteview,,0000-00-00,Falls City,,0000-00-00,Syracuse,,0000-00-00,Mount Michael Benedictine,,0000-00-00,Blair,,0000-00-00,Gretna,,0000-00-00,Norris,,0000-00-00,YES,Nebraska City Lourdes,Ed Gogan,12/29/2007
Niobrara,D2,5,8,Wausa,,0000-00-00,Wynot,,0000-00-00,West Boyd,,0000-00-00,Allen,,0000-00-00,Clearwater/Orchard,,0000-00-00,Elkhorn Valley,,0000-00-00,Newcastle,,0000-00-00,North Central,,0000-00-00,NO,,James Parks,12/31/2007
North Platte St. Patrick's,C2,9,11,Hershey,,0000-00-00,Sutherland,,0000-00-00,Perkins County,,0000-00-00,Chase County,,0000-00-00,Bridgeport,,0000-00-00,Bayard,,0000-00-00,Morrill,,0000-00-00,Broken Bow,,0000-00-00,,,,01/02/2008
Oakland-Craig,C2,4,11,Homer,,0000-00-00,Tekamah-Herman,,0000-00-00,Logan View,,0000-00-00,Ponca,,0000-00-00,Randolph,,0000-00-00,Laurel-Concord,,0000-00-00,Lutheran High Northeast,,0000-00-00,Yutan,,0000-00-00,NO,,Rusty Droescher,01/02/2008
Ogallala,B,7,11,Sterling, CO,H,0000-00-00,Alliance,A,0000-00-00,Gering,H,0000-00-00,Scottsbluff,H,0000-00-00,Sidney,A,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Mike Shoff,01/02/2008
Omaha Bryan,A,3,11,Omaha South,A,0000-00-00,Omaha Benson,H,0000-00-00,Lincoln High,H,0000-00-00,Omaha Burke,H,0000-00-00,Papillion-LaVista South,H,0000-00-00,Fremont,A,0000-00-00,Lincoln East,H,0000-00-00,Omaha Northwest,,0000-00-00,YES,Omaha Gross Catholic uses our field (Bryan Stadium) for their HOME games,Todd Martin,01/02/2008
Omaha Burke,A,4,11,Omaha South,H,0000-00-00,Omaha Bryan,H,0000-00-00,Omaha Northwest,H,0000-00-00,Columbus,H,0000-00-00,Lincoln High,H,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Daniel Trerice,01/02/2008
Omaha Creighton Prep,A,5,11,Omaha Westside,,0000-00-00,Omaha Central,,0000-00-00,Millard North,,0000-00-00,Millard West,,0000-00-00,Lincoln Southeast,,0000-00-00,Omaha Burke,,0000-00-00,Papillion-LaVista,,0000-00-00,Fremont,,0000-00-00,NO,,Dan Schinzel,01/02/2008
Omaha Nation,D1,4,8,Concordia,,0000-00-00,Lyons-Decatur Northeast,,0000-00-00,Cedar Bluffs,,0000-00-00,Walthill,,0000-00-00,Leigh,,0000-00-00,Wausa,,0000-00-00,Elkhorn Valley,,0000-00-00,Newcastle,,0000-00-00,NO,,Brad Vogt,01/02/2008
Plainview,C2,6,11,Randolph,,0000-00-00,Laurel-Concord,,0000-00-00,Ponca,,0000-00-00,Hartington Cedar Catholic,,0000-00-00,West Point Central Catholic,,0000-00-00,Stanton,,0000-00-00,O'Neill,,0000-00-00,Oakland-Craig,,0000-00-00,NO,,Scott Guzinski,12/28/2007
Plattsmouth,B,2,11,Platteview,H,2008-08-29,Gretna,A,2008-09-05,Blair,H,2008-09-12,South Sioux City,A,2008-09-19,Lexington,H,2008-09-26,Holdrege,A,2008-10-03,Mount Michael Benedictine,A,2008-10-10,York,A,2008-10-17,NO,,Shaun Brothers,01/02/2008
Prague,D2,3,8,Concordia,,0000-00-00,Walthill,,0000-00-00,Nebraska Christian,,0000-00-00,Heartland Lutheran,,0000-00-00,Southeast NE Consolidated,,0000-00-00,Cedar Rapids,,0000-00-00,Parkview Christian,,0000-00-00,Winnebago,,0000-00-00,NO,,Kevin Behne,01/02/2008
Ralston,B,2,11,South Sioux City,A,0000-00-00,Blair,H,0000-00-00,Norris,H,0000-00-00,York,H,0000-00-00,Platteview,A,0000-00-00,Northwest,A,0000-00-00,Gretna,H,0000-00-00,Mount Michael Benedictine,A,0000-00-00,NO,,Dan Mussmann,01/02/2008
Sargent,D2,7,8,Mullen,,0000-00-00,Ansley,,0000-00-00,Sandhills/Thedford,,0000-00-00,Anselmo-Merna,,0000-00-00,Sumner-Eddyville-Miller,,0000-00-00,Stapleton,,0000-00-00,Spalding/Spalding Academy,,0000-00-00,Chambers,,0000-00-00,NO,,Cory Grint,01/02/2008
Shelby,D1,6,8,Exeter-Milligan,,0000-00-00,Humphrey,,0000-00-00,Cedar Bluffs,,0000-00-00,Mead,,0000-00-00,Dorchester,,0000-00-00,Newman Grove,,0000-00-00,Clarkson,,0000-00-00,Concordia,,0000-00-00,NO,,Terry Chadek (Act. Director),12/30/2007
Sidney,B,8,11,Ogallala,,0000-00-00,Kimball,,0000-00-00,Cozad,,0000-00-00,Lexington,,0000-00-00,Northwest,,0000-00-00,Holdrege,,0000-00-00,Chase County,,0000-00-00,Chadron,,0000-00-00,NO,,Mike Brockhaus,12/30/2007
Sterling,D2,1,8,Freeman,,0000-00-00,Pawnee City,,0000-00-00,Dorchester,,0000-00-00,Meridian,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Greg Peterson,01/02/2008
Sutton,C2,8,11,Friend,H,0000-00-00,Tri County,H,0000-00-00,Loup City,,0000-00-00,High Plains Community,,0000-00-00,Fullerton,,0000-00-00,Wilber-Clatonia,,0000-00-00,Malcolm,,0000-00-00,Ravenna,,0000-00-00,NO,,Troy Reichert, AD,01/02/2008
Verdigre,D2,5,8,Wausa,,0000-00-00,Walthill,,0000-00-00,Coleridge,,0000-00-00,Wynot,,0000-00-00,Ewing,,0000-00-00,Newcastle,,0000-00-00,Elgin,,0000-00-00,Chambers,,0000-00-00,NO,,Patrick Svec,12/30/2007
Wahoo,C1,3,11,Schuyler,,0000-00-00,Mount Michael Benedictine,,0000-00-00,Omaha Roncalli Catholic,,0000-00-00,Lincoln Lutheran,,0000-00-00,David City,,0000-00-00,Syracuse,,0000-00-00,Columbus Lakeview,,0000-00-00,Douglas County West,,0000-00-00,NO,,Jason Libal,12/29/2007
Walthill,D2,4,8,Omaha Nation,,0000-00-00,Winnebago,,0000-00-00,Lyons-Decatur Northeast,,0000-00-00,Emerson-Hubbard,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,NO,,Ed Stansberry,01/01/2008
West Point Central Catholic,C2,4,11,Hartington Cedar Catholic,H,0000-00-00,Homer,A,0000-00-00,Lutheran High Northeast,A,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,,,0000-00-00,YES,West Point-Beemer High School,Derek Ippensen,12/29/2007
Wood River,C1,8,11,Doniphan-Trumbull,,0000-00-00,Central City,,0000-00-00,Twin River,,0000-00-00,Fullerton,,0000-00-00,Centennial,,0000-00-00,Milford,,0000-00-00,Fillmore Central,,0000-00-00,Ravenna,,0000-00-00,NO,,Pat Opp,12/31/2007
Wynot,D2,4,8,Hartington,,0000-00-00,Humphrey,,0000-00-00,Winside,,0000-00-00,Lynch,,0000-00-00,Omaha Nation,,0000-00-00,Niobrara,,0000-00-00,Verdigre,,0000-00-00,West Boyd,,0000-00-00,,,,12/30/2007
Yutan,C2,1,11,Malcolm,,0000-00-00,East Butler,,0000-00-00,Palmyra,,0000-00-00,Johnson County Central,,0000-00-00,Archbishop Bergan,,0000-00-00,Scribner-Snyder,,0000-00-00,Oakland-Craig,,0000-00-00,Lincoln Christian,,0000-00-00,NO,,Dan Tietjen,12/31/2007
