"199","Boys Town","C2","3","1","Boys Town","500","Aquinas Catholic","Yutan","2036.00","360.00","20","20.00","162.88","350.12","125","509.00","509.00","336.60","1.00","13.52","2.03","10.14","1.35","636.03","346.76","510.33","11/02/2009-11/03/2009","OK"
"200","Lincoln East","C2","2","1","Lincoln East",,"Lourdes Central Catholic","Malcolm","3321.00","360.00","84","84.00","265.68","825.82","125","830.25","830.25","345.10","1.00","480.72","72.11","360.54","48.07","1027.36","705.66","878.30","11/2/2009-11/3/2009","OK"
"201","East Butler","D2","3","1","East Butler","325","Dodge","Lindsay Holy Family","1509.00","360.00","42","84.00","120.72","64.78","125","377.25","377.25","64.77","0.1095","0.01","0.00","0.00","0.00","502.26","64.77","377.25","11/2/2009-11/3/2009","OK"
"204","Alliance","C1","12","1","Alliance, Ne.","325","Chadron","Gordon-Rushville","1733.00","360.00","60","120.00","138.64","122.86","125.oo","433.25","433.25","122.88","0.1225","0.00","0.00","0.00","0.00","558.23","122.88","433.25","02/11/09-03/11/09","OK"
"203","North Platte","D1","11","1","North Platte","869","Maxwell High School","Brady High School","3991.00","360.00","0.00","0.00","319.28","1191.22","125.00","997.75","997.75","351.90","1.00","839.32","125.90","629.49","83.93","1248.65","981.39","1081.68","11/02/2009-11/03/2009","OK"
"205","Battle Creek","D1","7","1","Battle Creek","500","Winside","Newman Grove","2300.00","360.00","88","88.00","184.00","393.00","125","575.00","575.00","341.70","1.00","51.30","7.70","38.48","5.12","707.70","380.18","580.12","11/2/2009-11/3/2009","OK"
"207","Norris","C1","3","1","Norris High School",,"Syracuse","Lincoln Christian","3492.00","360.00","52","52.00","279.36","929.64","125.00","873.00","873.00","552.50","1.00","377.14","56.57","282.86","37.71","1054.57","835.38","910.69","11/02/2009-11/03/2009","OK"
"208","O'Neill","C2","6","1","O'Neill","600","West Holt","Hartington Cedar Catholic","2814.00","360.00","96","96.00","225.12","600.88","125","703.50","703.50","600.90","0.9351","0.00","0.00","0.00","0.00","828.48","600.90","703.50","11/02/2009-11/03/2009","OK"
"209","Northwest","D1","4","1","Grand Island Northwest","750","Silver Lake","Palmer","3275.00","360.00","0","0.00","262.00","890.50","125.","818.75","818.75","459.00","1.00","431.50","64.73","323.63","43.14","1008.48","782.63","861.89","11/2/2009-11/3/2009","OK"
"210","North Bend Central","D1","5","1","North Bend Central High School","525","Howells","Humphrey St. Francis","2508.00","360.00","32","32.00","200.64","536.36","125.00","627.00","627.00","504.90","1.00","31.46","4.72","23.60","3.14","756.72","528.50","630.14","11/02/2009-11/03/2009","OK"
"211","Southern Valley","D1","10","1","Southern Valley","540","Bertrand","Elwood","2780.00","450.00","30","60.00","222.40","507.60","150.00","695.00","695.00","507.60","0.8271","0.00","0.00","0.00","0.00","845.00","507.60","695.00","11/2/2009-11/3/2009","OK"
"212","Stuart","D2","5","1","Stuart","524","Stuart","St. Mary's","2356.00","360.00","20","20.00","188.48","484.52","125","589.00","589.00","484.53","0.9761","0.00","0.00","0.00","0.00","713.99","484.53","589.00","11/02/2009-11/03/2009","OK"
"213","Malcolm","C1","5","1","Malcolm Public School","550","Bishop Neuman","Wahoo Public","2652.00","360.00","42","42.00","212.16","586.84","125","663.00","663.00","402.90","1.00","183.94","27.59","137.96","18.39","815.59","540.87","681.38","11/02/09-11/03/09","OK"
"214","Waverly","C1","2","1","Waverly High School",,"Lincoln Lutheran","Concordia","3083.25","360.00","60","60.00","246.66","749.97","125.00","770.81","770.81","399.50","1.00","350.47","52.57","262.85","35.05","948.38","662.35","805.86","11/02/2009-11/03/2009","OK"
"216","Columbus","C1","7","1","Columbus High School","1099","Columbus Scotus","St. Paul","5034.00","360.00","21","42.00","402.72","1587.28","125.00","1258.50","1258.50","396.10","1.00","1191.18","178.68","893.39","119.11","1562.18","1289.49","1377.61","11/2/2009-11/3/2009","OK"
"218","Broken Bow","D1","9","1","Broken Bow","600","Ansley","Loup City","2895.00","360.00","222","222.00","231.60","508.90","125.00","723.75","723.75","508.89","0.9044","0.01","0.00","0.00","0.00","848.76","508.89","723.75","11/02/2009-11/03/2009","OK"
"219","Fairbury","D2","1","1","Fairbury High School","314","Falls City Sacred Heart","Sterling","1456.00","360.00","98","98.00","116.48","28.52","125.00","364.00","364.00","28.55","0.0340","0.00","0.00","0.00","0.00","488.97","28.55","364.00","11/2/2009-11/3/2009","OK"
"220","Kearney Catholic","C2","9","1","Kearney Catholic","1000 est","Shelton","Gibbon","4624.00","360.00",,"0.00","369.92","1457.08","125.00","1156.00","1156.00","375.70","1.00","1081.38","162.21","811.04","108.13","1443.21","1186.74","1264.13","11/2/2009-11/3/2009","OK"
"221","York","D1","3","1","York",,"Meridian","Exeter-Milligan","3904.00","360.00","122","122.00","312.32","1032.68","125","976.00","976.00","372.30","1.00","660.38","99.06","495.29","66.03","1200.07","867.58","1042.03","11/02/2009-11/03/2009","OK"
"222","Thedford","D2","11","1","Thedford","500","Mullen","Paxton","2281.00","360.00","130","130.00","182.48","343.02","125","570.25","570.25","343.06","0.3926","0.00","0.00","0.00","0.00","695.21","343.06","570.25","11/02/2009-11/03/2009","OK"
"225","McCook","C2","11","1","McCook High School","475","North Platte St. Pats","Perkins County","2160.00","360.00","56","56.00","172.80","366.20","125.00","540.00","540.00","366.21","0.4119","0.00","0.00","0.00","0.00","664.99","366.21","540.00","11/02/2009-11/03/2009","OK"
"223","North Platte St. Patrick's","D2","10","1","North Platte/St. Pat's","621","Wallace","Hitchcock County","2928.00","360.00","90","90.00","234.24","654.76","125","732.00","732.00","654.79","0.8126","0.00","0.00","0.00","0.00","856.97","654.79","732.00","11/2/2009-11/3/2009","OK"
"224","Fremont","C1","1","1","Fremont  HS","519","Bennington","Arlington","2436.00","360.00","104","104.00","194.88","434.12","125.00","609.00","609.00","239.70","1.00","194.42","29.16","145.82","19.44","763.16","385.54","628.42","11/02/2009-11/03/2009","OK"
"226","Logan View","C2","4","1","Logan View High School","1000","Archbishop Bergan","Lyons-Decatur Northeast","3650.00","360.00","111","111.00","292.00","937.00","125","912.50","912.50","297.50","1.00","639.50","95.93","479.63","63.94","1133.43","777.13","976.44","11/02/2009-11/03/2009","OK"
"227","Northeast Community College","C1","9","1","Northeast Community College","2300","Lutheran High Northeast High School","Norfolk Catholic High School","10249.70","360.00","96","96.00","819.98","3723.86","125.00","2562.43","2562.43","168.30","1.00","3555.56","533.33","2666.67","355.56","3220.76","2834.97","2917.99","11/02/2009-11/03/2009","OK"
"228","Holdrege","C2","10","1","Holdrege High School","853","Alma","Southwest","3836.00","360.00","94","94.00","306.88","1032.12","125","959.00","959.00","442.00","1.00","590.12","88.52","442.59","59.01","1172.52","884.59","1018.01","11/2/09-11/3/09","OK"
"229","Neligh-Oakdale","D2","6","1","Neligh-Oakdale","N/A","Chambers","Wheeler Central","2653.00","360.00","106","106.00","212.24","523.26","125.00","663.25","663.25","426.70","1.00","96.56","14.48","72.42","9.66","802.73","499.13","672.90","11/02/2009-11/03/2009","OK"
"230","Wilber-Clatonia","D1","2","1","Wilber-Clatonia Public Schools","490","Pawnee City","Freeman","2366.00","360.00","142","142.00","189.28","366.72","125.00","591.50","591.50","366.74","0.7215","0.00","0.00","0.00","0.00","716.48","366.74","591.50","11/2/2009-11/3/2009","OK"
"231","Gering","D2","12","1","Gering High School",,"Banner County","Potter-Dix","1949.00","360.00","100","200.00","155.92","133.58","125.00","487.25","487.25","133.60","0.2159","0.00","0.00","0.00","0.00","612.23","133.60","487.25","11/02/2009-11/03/2009","OK"
"232","Wayne","C2","5","1","Wayne","559","Bancroft-Rosalie","Wakefield","2503.00","360.00","52","52.00","200.24","514.26","125","625.75","625.75","394.40","1.00","119.86","17.98","89.90","11.98","768.73","484.32","637.71","11/2/2009-11/3/2009","OK"
"233","Scottsbluff","C2","12","1","Scottsbluff","718","Bridgeport","Morrill","3295.00","360.00","160","160.00","263.60","738.90","125.00","823.75","823.75","469.20","1.00","269.70","40.46","202.28","26.96","989.21","671.49","850.70","11/2/2009-11/3/2009","OK"
"234","Central City","C2","7","1","Central City High School","600","Heartland","Twin River","2471.00","360.00","178","178.00","197.68","374.82","125.00","617.75","617.75","331.50","1.00","43.32","6.50","32.49","4.33","749.26","363.98","622.08","11/02/2009-11/03/2009","OK"
"235","Creek Valley","D1","12","1","Creek Valley","700","Leyton","Hay Springs","2069.50","360.00","118","236.00","165.56","148.18","125.00","517.38","517.38","148.21","0.1309","0.00","0.00","0.00","0.00","642.35","148.21","517.38","11/2/2009-11/3/2009","OK"
"236","Bellevue East","A","4","2","Bellevue East High School","357","Omaha Burke High School","Lincoln North Start High School","1645.00","135.00","7","7.00","131.60","448.90","100","411.25","411.25","215.90","1.00","233.00","34.95","174.75","23.30","546.20","390.66","434.54","11/04/2009-11/04/2009","OK"
"237","Hartington Cedar Catholic","D2","4","1","Cedar Catholic High School","458","Wausa","Wynot","2061.00","360.00","85","170.00","164.88","210.62","125","515.25","515.25","210.61","0.7695","0.01","0.00","0.00","0.00","640.26","210.61","515.25","11/02/2009-11/03/2009","OK"
"238","Lexington","C1","11","1","Lexington High School","844","Kearney Catholic High School","Minden High School","3910.00","360.00","76","76.00","312.80","1081.20","125.00","977.50","977.50","520.20","1.00","561.00","84.15","420.75","56.10","1186.65","940.95","1033.60","11/02/2009-11/03/2009","OK"
"239","Beatrice","C2","1","1","Beatrice","814","Tri-County","Johnson-Brock","3700.00","360.00","78","78.00","296.00","991.00","125","925.00","925.00","379.10","1.00","611.90","91.79","458.93","61.18","1141.79","838.03","986.18","11/2/2009-11/3/2009","OK"
"241","Burwell","C1","10","1","Burwell","670","Ord","O'Neill","3150.00","360.00","134","134.00","252.00","704.00","125","787.50","787.50","704.02","0.9412","0.00","0.00","0.00","0.00","912.48","704.02","787.50","11/02/2009-11/03/2009","OK"
"242","Lincoln North Star","A","7","2","Lincoln North Star","468","Lincoln Southwest","Bellevue West","1694.00","270.00",,"0.00","135.52","341.48","100.00","423.50","423.50","178.50","1.00","162.98","24.45","122.24","16.29","547.95","300.74","439.79","11/4/2009-11/4/2009","OK"
"243","Lincoln Southwest","A","2","2","Lincoln Southwest High School","343","Papillion LaVista South","Millard West","1471.00","270.00","61","61.00","117.68","186.82","100.00","367.75","367.75","186.82","0.5018","0.00","0.00","0.00","0.00","467.75","186.82","367.75","11/4/09-11/4/09","OK"
"245","Winnebago","D1","6","1","Winnebago","336","Allen","Pender","1516.00","360.00","90","90.00","121.28","61.72","125","379.00","379.00","61.70","0.1871","0.02","0.00","0.00","0.00","504.02","61.70","379.00","11/02/2009-11/03/2009","OK"
"246","Loup City","D2","8","1","Loup City",,"Pleasanton","Elba","2066.00","360.00","190","190.00","165.28","192.72","125","516.50","516.50","192.72","0.6161","0.00","0.00","0.00","0.00","641.50","192.72","516.50","11/02/2009-11/03/2009","OK"
"247","David City","D1","1","1","David City","300","Cedar Bluffs","Mead","1419.00","360.00","36","72.00","113.52","38.98","125.00","354.75","354.75","38.98","0.0762","0.00","0.00","0.00","0.00","479.75","38.98","354.75","11/02/2009-11/03/2009","OK"
"248","Norfolk","C1","6","1","Norfolk",,"Wisner-Pilger","Wayne","3333.00","360.00","24","24.00","266.64","890.86","125","833.25","833.25","414.80","1.00","476.06","71.41","357.05","47.60","1029.67","771.84","880.85","11/2/09-11/3/09",
